,Ligand SMILES,IC50 (nM),ref,inner_ID
112,CC(C)C[C@H](NC(=O)[C@H](CN1CCC(F)CC1)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C,7,BindingDB,id_112
113,CC(C)C[C@H](NC(=O)OCC1CCC(F)(F)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,7,BindingDB,id_113
114,CC1(C)[C@H]2CN([C@@H]([C@@H]12)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C(=O)[C@@H](CC1CCC1)NC(=O)C(F)(F)F,7,BindingDB,id_114
115,CC(C)(C)[C@H](NC(=O)COc1ccc(F)cc1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C,7,BindingDB,id_115
116,COc1cccc2[nH]c(cc12)C(=O)NC(CC(C)(C)C)C(=O)NC(CC1CCNC1=O)C(=O)CO,7,BindingDB,id_116
117,CC(C)C[C@H](NC(=O)Oc1cc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CCl,7,BindingDB,id_117
118,CC(C)C[C@H](N(C)C(=O)c1cc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CCl,7,BindingDB,id_118
119,CC(C)C[C@H](NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)[C@H](F)Cl,7,BindingDB,id_119
120,CC(C)C[C@H](NC(=O)c1nc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)[C@H](F)Cl,7,BindingDB,id_120
121,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C3CC3)NC(=O)C(F)F)C(=O)N[C@@H](C[C@@H]4CCCNC4=O)C#N)C,7.02,Pubchem&Chembl,id_121
122,CC(C)C[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C2(C)C)NC(=O)C(F)F,7.53,Pubchem&Chembl,id_122
123,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1c(C)cncc1C,7.56,BindingDB,id_123
124,C1C[C@H]2CN([C@H]([C@@H]2C1)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C=O)C(=O)CCC4=CC(=CC(=C4)F)F,7.6,Pubchem&Chembl,id_124
125,C1C[C@H]2CN([C@H]([C@@H]2C1)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C=O)C(=O)CCC4=CC(=CC=C4)F,7.6,Pubchem&Chembl,id_125
126,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)CCc1cc(F)cc(F)c1,7.6,Pubchem&Chembl,id_126
127,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)CCc1cccc(F)c1,7.6,Pubchem&Chembl,id_127
128,Fc1cccc(CCC(=O)N2C[C@@H]3CCC[C@H]3[C@@H]2C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)c1,7.6,BindingDB,id_128
129,Fc1cc(F)cc(CCC(=O)N2C[C@@H]3CCC[C@H]3[C@@H]2C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)c1,7.6,BindingDB,id_129
130,Fc1cccc(CCC(=O)N2CC3CCCC3[C@@H]2C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)c1,7.6,BindingDB,id_130
131,Fc1cc(F)cc(CCC(=O)N2CC3CCCC3[C@@H]2C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)c1,7.6,BindingDB,id_131
132,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)Cc1c(C)cc(cc1C)C#N,7.67,BindingDB,id_132
133,CC(C)(C)C[C@@H](C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)N)NC(=O)/C=C/C2=C(C=C(C=C2)Cl)Cl,7.9,Pubchem&Chembl,id_133
134,CC[C@@H](CC(=O)N[C@@H](CC(C)(C)C)C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)NC2CC2)C3=CC=CC=C3,7.9,Pubchem&Chembl,id_134
135,CC[C@@H](CC(=O)N[C@@H](CC(C)(C)C)C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1)c1ccccc1,7.9,BindingDB,id_135
136,CC(C)(C)C[C@H](NC(=O)\C=C\c1ccc(Cl)cc1Cl)C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(N)=O,7.9,BindingDB,id_136
137,C1CNC(=O)[C@@H]1CC(C(=O)C(=O)NC2CC2)NC(=O)[C@H](CC3CC3)NC(=O)/C=C/C4=C(C=C(C=C4)Cl)F,7.94,Pubchem&Chembl,id_137
138,CC(C)(C)C[C@@H](C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)NC2CC2)NC(=O)/C=C/C3=C(C=C(C=C3)Cl)F,7.94,Pubchem&Chembl,id_138
139,CC(C)(C)C[C@H](NC(=O)\C=C\c1ccc(Cl)cc1F)C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1,7.94,BindingDB,id_139
140,Fc1cc(Cl)ccc1\C=C\C(=O)N[C@@H](CC1CC1)C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1,7.94,BindingDB,id_140
141,[2H][C@](C(=O)N[C@@H](C)c1ccc(F)cc1)(c1cccnc1)N(C(=O)C(C)=O)c1ccc2c(c1)oc1ccccc12,8,Pubchem&Chembl,id_141
142,NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1ccccc1)C(=O)CCl,8,Pubchem&Chembl,id_142
